FilePath, Cyclomatic, CountLines, Class
lang/java/avro/src/main/java/org/apache/avro/message/BinaryMessageDecoder.java,15,72,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/message/BinaryMessageEncoder.java,4,50,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/message/MessageDecoder.java,0,44,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/message/MessageEncoder.java,0,8,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/message/MissingSchemaException.java,1,7,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/message/RawMessageDecoder.java,4,31,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/message/RawMessageEncoder.java,5,52,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/message/SchemaStore.java,0,19,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/reflect/ArrayAccessor.java,50,178,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/reflect/AvroAlias.java,0,12,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/reflect/AvroDefault.java,0,10,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/reflect/AvroDoc.java,0,10,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/reflect/AvroEncode.java,0,10,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/reflect/AvroIgnore.java,0,9,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/reflect/AvroMeta.java,0,18,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/reflect/AvroName.java,0,10,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/reflect/AvroSchema.java,0,12,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/reflect/CustomEncoding.java,2,16,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/reflect/DateAsLongEncoding.java,3,24,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/reflect/FieldAccess.java,0,5,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/reflect/FieldAccessReflect.java,3,85,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/reflect/FieldAccessUnsafe.java,11,283,not-bug-prone
