FilePath, ChangeRate, AddLines, DeleteLines
lang/java/mapred/src/main/java/org/apache/avro/mapreduce/AvroKeyRecordWriter.java,7,107,16
lang/java/mapred/src/main/java/org/apache/avro/mapreduce/AvroKeyValueRecordWriter.java,7,159,18
lang/java/mapred/src/main/java/org/apache/avro/mapreduce/AvroMultipleOutputs.java,7,708,108
lang/java/mapred/src/main/java/org/apache/avro/mapreduce/AvroOutputFormatBase.java,8,135,29
lang/java/mapred/src/test/java/org/apache/avro/hadoop/file/TestHadoopCodecFactory.java,2,65,5
lang/java/mapred/src/test/java/org/apache/avro/mapred/TestAvroInputFormat.java,2,91,8
lang/java/mapred/src/test/java/org/apache/avro/mapred/TestAvroMultipleOutputs.java,4,400,55
lang/java/mapred/src/test/java/org/apache/avro/mapred/TestAvroOutputFormat.java,3,168,26
lang/java/mapred/src/test/java/org/apache/avro/mapred/TestAvroTextOutputFormat.java,2,95,5
lang/java/mapred/src/test/java/org/apache/avro/mapred/TestAvroTextSort.java,1,6,6
lang/java/mapred/src/test/java/org/apache/avro/mapred/TestGenericJob.java,3,167,14
lang/java/mapred/src/test/java/org/apache/avro/mapred/TestReflectJob.java,3,169,10
lang/java/mapred/src/test/java/org/apache/avro/mapred/TestSequenceFileReader.java,2,54,14
lang/java/mapred/src/test/java/org/apache/avro/mapred/TestWeather.java,4,64,17
lang/java/mapred/src/test/java/org/apache/avro/mapred/TestWordCount.java,2,30,27
lang/java/mapred/src/test/java/org/apache/avro/mapred/WordCountUtil.java,5,53,13
lang/java/mapred/src/test/java/org/apache/avro/mapred/tether/TetherTask.java,6,49,14
lang/java/mapred/src/test/java/org/apache/avro/mapred/tether/WordCountTask.java,4,10,5
lang/java/mapred/src/test/java/org/apache/avro/mapreduce/TestAvroKeyRecordWriter.java,5,142,18
lang/java/mapred/src/test/java/org/apache/avro/mapreduce/TestAvroKeyValueRecordWriter.java,6,257,22
lang/java/mapred/src/test/java/org/apache/avro/mapreduce/TestAvroMultipleOutputs.java,3,432,14
lang/java/mapred/src/test/java/org/apache/avro/mapreduce/TestAvroMultipleOutputsSyncable.java,2,431,13
