FilePath, ChangeRate, AddLines, DeleteLines, class
lang/java/tools/src/test/java/org/apache/avro/tool/TestDataFileRepairTool.java,9,62,77,non-bug-prone
lang/java/tools/src/test/java/org/apache/avro/tool/TestJsonToFromBinaryFragmentTools.java,7,41,44,non-bug-prone
lang/java/tools/src/test/java/org/apache/avro/tool/TestTextFileTools.java,10,60,55,bug-prone
lang/java/tools/src/test/java/org/apache/avro/tool/TestUtil.java,2,58,3,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/reflect/CustomEncoding.java,4,8,10,non-bug-prone
lang/java/avro/src/test/java/org/apache/avro/TypeEnum.java,4,16,6,bug-prone
lang/java/grpc/src/main/java/org/apache/avro/grpc/AvroGrpcClient.java,7,199,33,non-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/Requestor.java,7,155,143,bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/stats/Histogram.java,6,30,27,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/hadoop/io/AvroDatumConverter.java,4,5,4,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroMultipleOutputs.java,7,140,181,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapreduce/AvroKeyValueOutputFormat.java,6,34,24,bug-prone
lang/java/mapred/src/test/java/org/apache/avro/mapreduce/AvroFiles.java,5,11,11,non-bug-prone
lang/java/trevni/avro/src/main/java/org/apache/trevni/avro/mapreduce/AvroTrevniKeyOutputFormat.java,5,20,16,non-bug-prone
lang/java/trevni/avro/src/main/java/org/apache/trevni/avro/mapreduce/AvroTrevniKeyValueInputFormat.java,5,21,20,non-bug-prone
lang/java/trevni/avro/src/main/java/org/apache/trevni/avro/mapreduce/AvroTrevniKeyValueOutputFormat.java,5,34,26,non-bug-prone
lang/java/trevni/avro/src/main/java/org/apache/trevni/avro/mapreduce/AvroTrevniRecordReaderBase.java,5,15,12,non-bug-prone
lang/java/trevni/avro/src/main/java/org/apache/trevni/avro/mapreduce/AvroTrevniRecordWriterBase.java,9,31,31,non-bug-prone
lang/java/trevni/core/src/main/java/org/apache/trevni/ValueType.java,5,11,5,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/Conversions.java,9,251,105,bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/parsing/ResolvingGrammarGenerator.java,22,515,710,bug-prone
lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithCallbacks.java,6,80,108,non-bug-prone
lang/java/perf/src/main/java/org/apache/avro/perf/test/basic/UnchangedUnionTest.java,1,2,2,non-bug-prone
lang/java/tools/src/main/java/org/apache/avro/tool/CatTool.java,6,33,44,non-bug-prone
lang/java/ipc/src/test/java/org/apache/avro/TestSchema.java,13,433,512,bug-prone
lang/java/thrift/src/test/java/org/apache/avro/thrift/test/E.java,4,14,18,non-bug-prone
lang/java/thrift/src/test/java/org/apache/avro/thrift/test/Error.java,6,116,118,non-bug-prone
lang/java/thrift/src/test/java/org/apache/avro/thrift/test/Foo.java,7,782,609,non-bug-prone
lang/java/thrift/src/test/java/org/apache/avro/thrift/test/FooOrBar.java,5,197,201,non-bug-prone
lang/java/thrift/src/test/java/org/apache/avro/thrift/test/Nested.java,6,122,125,non-bug-prone
lang/java/thrift/src/test/java/org/apache/avro/thrift/test/Test.java,6,754,622,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/file/ZstandardLoader.java,5,62,12,non-bug-prone
lang/java/tools/src/test/java/org/apache/avro/tool/TestSpecificCompilerTool.java,11,163,76,non-bug-prone
lang/java/avro/src/test/java/org/apache/avro/TestSchemaWarnings.java,1,109,0,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/file/CodecFactory.java,10,116,56,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroOutputFormat.java,6,57,46,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapreduce/AvroOutputFormatBase.java,4,28,21,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/file/DataFileReader.java,12,201,121,bug-prone
lang/java/avro/src/test/java/org/apache/avro/TestDataFileReader.java,8,258,24,bug-prone
lang/java/tools/src/main/java/org/apache/avro/tool/SpecificCompilerTool.java,15,267,146,non-bug-prone
lang/java/tools/src/test/compiler/output/FieldVisibilityTest.java,3,506,506,non-bug-prone
lang/java/avro/src/test/java/org/apache/avro/io/parsing/TestResolvingGrammarGenerator2.java,6,95,76,bug-prone
lang/java/avro/src/main/java/org/apache/avro/file/DataFileStream.java,10,90,66,bug-prone
lang/java/protobuf/src/main/java/org/apache/avro/protobuf/ProtobufData.java,21,160,107,bug-prone
